Subject,Entries,Gender,Year,Level
Italian,37.0,Female,2000,Intermediate_2
Latin,12.0,Female,2000,Intermediate_2
Spanish,168.0,Female,2000,Intermediate_2
Accounting and Finance,239.0,Female,2000,Intermediate_2
Mathematics,4402.0,Female,2000,Intermediate_2
Biology,1767.0,Female,2000,Intermediate_2
Biotechnology,27.0,Female,2000,Intermediate_2
Chemistry,630.0,Female,2000,Intermediate_2
Geology,6.0,Female,2000,Intermediate_2
Managing Environmental Resources,,Female,2000,Intermediate_2
Physics,451.0,Female,2000,Intermediate_2
Crop Establishment,2.0,Female,2000,Intermediate_2
Fish Husbandry,,Female,2000,Intermediate_2
Investigating Fish Rearing Systems,,Female,2000,Intermediate_2
Investigating the Natural Environment,2.0,Female,2000,Intermediate_2
Livestock Production,2.0,Female,2000,Intermediate_2
Classical Studies,16.0,Female,2000,Intermediate_2
Economics,64.0,Female,2000,Intermediate_2
Geography,324.0,Female,2000,Intermediate_2
History,591.0,Female,2000,Intermediate_2
Modern Studies,508.0,Female,2000,Intermediate_2
Philosophy,33.0,Female,2000,Intermediate_2
Politics,4.0,Female,2000,Intermediate_2
Psychology,92.0,Female,2000,Intermediate_2
"Religious, Moral and Philosophical Studies",95.0,Female,2000,Intermediate_2
Sociology,52.0,Female,2000,Intermediate_2
Administration,773.0,Female,2000,Intermediate_2
Business Management,470.0,Female,2000,Intermediate_2
Care,98.0,Female,2000,Intermediate_2
Care Issues for Society,13.0,Female,2000,Intermediate_2
Computing,229.0,Female,2000,Intermediate_2
Construction Craft Skills,,Female,2000,Intermediate_2
Construction Industry Practice,,Female,2000,Intermediate_2
Craft and Design,67.0,Female,2000,Intermediate_2
Electronic and Electrical Fundamentals,,Female,2000,Intermediate_2
Engineering Craft Skills,10.0,Female,2000,Intermediate_2
Graphic Communication,166.0,Female,2000,Intermediate_2
Health and Safety in Care Settings,1.0,Female,2000,Intermediate_2
Home Economics - Fashion and Textile Technology,10.0,Female,2000,Intermediate_2
Home Economics - Health and Food Technology,286.0,Female,2000,Intermediate_2
Home Economics - Lifestyle and Consumer Technology,26.0,Female,2000,Intermediate_2
Hospitality - General Operations,70.0,Female,2000,Intermediate_2
Hospitality - Practical Cookery,1269.0,Female,2000,Intermediate_2
Hospitality - Professional Cookery,71.0,Female,2000,Intermediate_2
Hospitality - Reception and Accommodation Operations,3.0,Female,2000,Intermediate_2
Information Systems,741.0,Female,2000,Intermediate_2
Structures,1.0,Female,2000,Intermediate_2
Technological Studies,10.0,Female,2000,Intermediate_2
Travel and Tourism,175.0,Female,2000,Intermediate_2
Woodworking Skills,124.0,Female,2000,Intermediate_2
Art and Design,337.0,Female,2000,Intermediate_2
Drama,100.0,Female,2000,Intermediate_2
Media Studies,86.0,Female,2000,Intermediate_2
Music,247.0,Female,2000,Intermediate_2
Physical Education,303.0,Female,2000,Intermediate_2
Classical Greek,3.0,Male,2001,Intermediate_2
English and Communication,5927.0,Male,2001,Intermediate_2
French,243.0,Male,2001,Intermediate_2
Gaelic (Learners),7.0,Male,2001,Intermediate_2
Gàidhlig,3.0,Male,2001,Intermediate_2
German,156.0,Male,2001,Intermediate_2
Italian,31.0,Male,2001,Intermediate_2
Latin,17.0,Male,2001,Intermediate_2
Russian,1.0,Male,2001,Intermediate_2
Spanish,73.0,Male,2001,Intermediate_2
Accounting and Finance,209.0,Male,2001,Intermediate_2
Mathematics,5862.0,Male,2001,Intermediate_2
Biology,1006.0,Male,2001,Intermediate_2
Biotechnology,27.0,Male,2001,Intermediate_2
Chemistry,715.0,Male,2001,Intermediate_2
Geology,23.0,Male,2001,Intermediate_2
Managing Environmental Resources,20.0,Male,2001,Intermediate_2
Physics,1395.0,Male,2001,Intermediate_2
Amenity Horticulture,10.0,Male,2001,Intermediate_2
Crop Establishment,5.0,Male,2001,Intermediate_2
Fish Husbandry,7.0,Male,2001,Intermediate_2
Investigating Fish Rearing Systems,6.0,Male,2001,Intermediate_2
Livestock Production,5.0,Male,2001,Intermediate_2
Plant Propagation,10.0,Male,2001,Intermediate_2
Classical Studies,12.0,Male,2001,Intermediate_2
Economics,69.0,Male,2001,Intermediate_2
Geography,794.0,Male,2001,Intermediate_2
History,756.0,Male,2001,Intermediate_2
Modern Studies,522.0,Male,2001,Intermediate_2
Philosophy,17.0,Male,2001,Intermediate_2
Psychology,49.0,Male,2001,Intermediate_2
"Religious, Moral and Philosophical Studies",88.0,Male,2001,Intermediate_2
Sociology,23.0,Male,2001,Intermediate_2
Administration,592.0,Male,2001,Intermediate_2
Business Management,428.0,Male,2001,Intermediate_2
Care,31.0,Male,2001,Intermediate_2
Care Issues for Society,12.0,Male,2001,Intermediate_2
Computing,1314.0,Male,2001,Intermediate_2
Construction Craft Skills,19.0,Male,2001,Intermediate_2
Construction Industry Practice,37.0,Male,2001,Intermediate_2
Craft and Design,511.0,Male,2001,Intermediate_2
Design,13.0,Male,2001,Intermediate_2
Electronic and Electrical Fundamentals,64.0,Male,2001,Intermediate_2
Engineering Craft Skills,157.0,Male,2001,Intermediate_2
Fabrication and Welding,4.0,Male,2001,Intermediate_2
Graphic Communication,604.0,Male,2001,Intermediate_2
Health and Safety in Care Settings,6.0,Male,2001,Intermediate_2
Home Economics - Fashion and Textile Technology,,Male,2001,Intermediate_2
Home Economics - Health and Food Technology,35.0,Male,2001,Intermediate_2
Home Economics - Lifestyle and Consumer Technology,4.0,Male,2001,Intermediate_2
Hospitality - General Operations,104.0,Male,2001,Intermediate_2
Hospitality - Practical Cookery,487.0,Male,2001,Intermediate_2
Hospitality - Professional Cookery,107.0,Male,2001,Intermediate_2
Information Systems,2161.0,Male,2001,Intermediate_2
Personal and Social Education,13.0,Male,2001,Intermediate_2
Selling Overseas Tourist Destinations,6.0,Male,2001,Intermediate_2
Technological Studies,159.0,Male,2001,Intermediate_2
Travel and Tourism,171.0,Male,2001,Intermediate_2
Woodworking Skills,1266.0,Male,2001,Intermediate_2
Art and Design,712.0,Male,2001,Intermediate_2
Drama,150.0,Male,2001,Intermediate_2
Media Studies,185.0,Male,2001,Intermediate_2
Music,333.0,Male,2001,Intermediate_2
Fitness and Exercise,4.0,Male,2001,Intermediate_2
Leading Sports Activities,5.0,Male,2001,Intermediate_2
Physical Education,1369.0,Male,2001,Intermediate_2
Classical Greek,7.0,Female,2001,Intermediate_2
English and Communication,5417.0,Female,2001,Intermediate_2
French,701.0,Female,2001,Intermediate_2
Gaelic (Learners),8.0,Female,2001,Intermediate_2
Gàidhlig,4.0,Female,2001,Intermediate_2
German,323.0,Female,2001,Intermediate_2
Italian,102.0,Female,2001,Intermediate_2
Latin,6.0,Female,2001,Intermediate_2
Russian,,Female,2001,Intermediate_2
Spanish,269.0,Female,2001,Intermediate_2
Accounting and Finance,301.0,Female,2001,Intermediate_2
Mathematics,5886.0,Female,2001,Intermediate_2
Biology,2418.0,Female,2001,Intermediate_2
Biotechnology,39.0,Female,2001,Intermediate_2
Chemistry,775.0,Female,2001,Intermediate_2
Geology,5.0,Female,2001,Intermediate_2
Managing Environmental Resources,20.0,Female,2001,Intermediate_2
Physics,454.0,Female,2001,Intermediate_2
Amenity Horticulture,13.0,Female,2001,Intermediate_2
Crop Establishment,,Female,2001,Intermediate_2
Fish Husbandry,,Female,2001,Intermediate_2
Investigating Fish Rearing Systems,,Female,2001,Intermediate_2
Livestock Production,,Female,2001,Intermediate_2
Plant Propagation,13.0,Female,2001,Intermediate_2
Classical Studies,31.0,Female,2001,Intermediate_2
Economics,77.0,Female,2001,Intermediate_2
Geography,507.0,Female,2001,Intermediate_2
History,844.0,Female,2001,Intermediate_2
Modern Studies,629.0,Female,2001,Intermediate_2
Philosophy,32.0,Female,2001,Intermediate_2
Psychology,194.0,Female,2001,Intermediate_2
"Religious, Moral and Philosophical Studies",187.0,Female,2001,Intermediate_2
Sociology,97.0,Female,2001,Intermediate_2
Administration,2238.0,Female,2001,Intermediate_2
Business Management,607.0,Female,2001,Intermediate_2
Care,296.0,Female,2001,Intermediate_2
Care Issues for Society,109.0,Female,2001,Intermediate_2
Computing,522.0,Female,2001,Intermediate_2
Construction Craft Skills,,Female,2001,Intermediate_2
Construction Industry Practice,,Female,2001,Intermediate_2
Craft and Design,135.0,Female,2001,Intermediate_2
Design,33.0,Female,2001,Intermediate_2
Electronic and Electrical Fundamentals,4.0,Female,2001,Intermediate_2
Engineering Craft Skills,7.0,Female,2001,Intermediate_2
Fabrication and Welding,,Female,2001,Intermediate_2
Graphic Communication,223.0,Female,2001,Intermediate_2
Health and Safety in Care Settings,41.0,Female,2001,Intermediate_2
Home Economics - Fashion and Textile Technology,41.0,Female,2001,Intermediate_2
Home Economics - Health and Food Technology,238.0,Female,2001,Intermediate_2
Home Economics - Lifestyle and Consumer Technology,47.0,Female,2001,Intermediate_2
Hospitality - General Operations,103.0,Female,2001,Intermediate_2
Hospitality - Practical Cookery,1545.0,Female,2001,Intermediate_2
Hospitality - Professional Cookery,97.0,Female,2001,Intermediate_2
Information Systems,1123.0,Female,2001,Intermediate_2
Personal and Social Education,22.0,Female,2001,Intermediate_2
Selling Overseas Tourist Destinations,36.0,Female,2001,Intermediate_2
Technological Studies,2.0,Female,2001,Intermediate_2
Travel and Tourism,437.0,Female,2001,Intermediate_2
Woodworking Skills,247.0,Female,2001,Intermediate_2
Art and Design,1063.0,Female,2001,Intermediate_2
Drama,312.0,Female,2001,Intermediate_2
Media Studies,245.0,Female,2001,Intermediate_2
Music,382.0,Female,2001,Intermediate_2
Fitness and Exercise,4.0,Female,2001,Intermediate_2
Leading Sports Activities,5.0,Female,2001,Intermediate_2
Physical Education,416.0,Female,2001,Intermediate_2
English and Communication,7215.0,Male,2002,Intermediate_2
French,277.0,Male,2002,Intermediate_2
Gaelic (Learners),5.0,Male,2002,Intermediate_2
Gaidhlig,1.0,Male,2002,Intermediate_2
German,134.0,Male,2002,Intermediate_2
Italian,24.0,Male,2002,Intermediate_2
Latin,22.0,Male,2002,Intermediate_2
Spanish,117.0,Male,2002,Intermediate_2
Accounting and Finance,220.0,Male,2002,Intermediate_2
Mathematics,6414.0,Male,2002,Intermediate_2
Biology,1141.0,Male,2002,Intermediate_2
Biotechnology,32.0,Male,2002,Intermediate_2
Chemistry,755.0,Male,2002,Intermediate_2
Geology,16.0,Male,2002,Intermediate_2
Managing Environmental Resources,23.0,Male,2002,Intermediate_2
Physics,1502.0,Male,2002,Intermediate_2
Amenity Horticulture,19.0,Male,2002,Intermediate_2
Fish Husbandry,2.0,Male,2002,Intermediate_2
Forestry Practice,4.0,Male,2002,Intermediate_2
Investigating Fish Rearing Systems,2.0,Male,2002,Intermediate_2
Investigating the Natural Environment,2.0,Male,2002,Intermediate_2
Plant Propagation,18.0,Male,2002,Intermediate_2
Classical Studies,21.0,Male,2002,Intermediate_2
Economics,56.0,Male,2002,Intermediate_2
Geography,903.0,Male,2002,Intermediate_2
History,856.0,Male,2002,Intermediate_2
Modern Studies,517.0,Male,2002,Intermediate_2
Philosophy,42.0,Male,2002,Intermediate_2
Politics,1.0,Male,2002,Intermediate_2
Psychology,80.0,Male,2002,Intermediate_2
"Religious, Moral and Philosophical Studies",148.0,Male,2002,Intermediate_2
Sociology,36.0,Male,2002,Intermediate_2
Administration,842.0,Male,2002,Intermediate_2
Business Management,527.0,Male,2002,Intermediate_2
Care,64.0,Male,2002,Intermediate_2
Care Issues for Society,19.0,Male,2002,Intermediate_2
Computing,1577.0,Male,2002,Intermediate_2
Construction Craft Skills,11.0,Male,2002,Intermediate_2
Construction Industry Practice,35.0,Male,2002,Intermediate_2
Craft and Design,629.0,Male,2002,Intermediate_2
Design,9.0,Male,2002,Intermediate_2
Electronic and Electrical Fundamentals,61.0,Male,2002,Intermediate_2
Engineering Craft Skills,215.0,Male,2002,Intermediate_2
Fabrication and Welding,2.0,Male,2002,Intermediate_2
Graphic Communication,763.0,Male,2002,Intermediate_2
Health and Safety in Care Settings,11.0,Male,2002,Intermediate_2
Home Economics - Fashion and Textile Technology,0.0,Male,2002,Intermediate_2
Home Economics - Health and Food Technology,27.0,Male,2002,Intermediate_2
Home Economics - Lifestyle and Consumer Technology,6.0,Male,2002,Intermediate_2
Hospitality - General Operations,76.0,Male,2002,Intermediate_2
Hospitality - Practical Cookery,509.0,Male,2002,Intermediate_2
Hospitality - Professional Cookery,135.0,Male,2002,Intermediate_2
Hospitality - Reception and Accommodation Operations,1.0,Male,2002,Intermediate_2
Information Systems,2271.0,Male,2002,Intermediate_2
Personal and Social Education,6.0,Male,2002,Intermediate_2
Selling Overseas Tourist Destinations,13.0,Male,2002,Intermediate_2
Technological Studies,228.0,Male,2002,Intermediate_2
Travel and Tourism,204.0,Male,2002,Intermediate_2
Woodworking Skills,1536.0,Male,2002,Intermediate_2
Art and Design,846.0,Male,2002,Intermediate_2
Drama,205.0,Male,2002,Intermediate_2
Media Studies,202.0,Male,2002,Intermediate_2
Music,422.0,Male,2002,Intermediate_2
Fitness and Exercise,21.0,Male,2002,Intermediate_2
Leading Sports Activities,4.0,Male,2002,Intermediate_2
Physical Education,1544.0,Male,2002,Intermediate_2
English and Communication,6429.0,Female,2002,Intermediate_2
French,809.0,Female,2002,Intermediate_2
Gaelic (Learners),29.0,Female,2002,Intermediate_2
Gaidhlig,7.0,Female,2002,Intermediate_2
German,340.0,Female,2002,Intermediate_2
Italian,90.0,Female,2002,Intermediate_2
Latin,24.0,Female,2002,Intermediate_2
Spanish,366.0,Female,2002,Intermediate_2
Accounting and Finance,377.0,Female,2002,Intermediate_2
Mathematics,6113.0,Female,2002,Intermediate_2
Biology,2351.0,Female,2002,Intermediate_2
Biotechnology,48.0,Female,2002,Intermediate_2
Chemistry,678.0,Female,2002,Intermediate_2
Geology,4.0,Female,2002,Intermediate_2
Managing Environmental Resources,25.0,Female,2002,Intermediate_2
Physics,380.0,Female,2002,Intermediate_2
Amenity Horticulture,11.0,Female,2002,Intermediate_2
Fish Husbandry,1.0,Female,2002,Intermediate_2
Forestry Practice,0.0,Female,2002,Intermediate_2
Investigating Fish Rearing Systems,1.0,Female,2002,Intermediate_2
Investigating the Natural Environment,1.0,Female,2002,Intermediate_2
Plant Propagation,10.0,Female,2002,Intermediate_2
Classical Studies,21.0,Female,2002,Intermediate_2
Economics,83.0,Female,2002,Intermediate_2
Geography,602.0,Female,2002,Intermediate_2
History,922.0,Female,2002,Intermediate_2
Modern Studies,704.0,Female,2002,Intermediate_2
Philosophy,45.0,Female,2002,Intermediate_2
Politics,0.0,Female,2002,Intermediate_2
Psychology,315.0,Female,2002,Intermediate_2
"Religious, Moral and Philosophical Studies",322.0,Female,2002,Intermediate_2
Sociology,106.0,Female,2002,Intermediate_2
Administration,2649.0,Female,2002,Intermediate_2
Business Management,740.0,Female,2002,Intermediate_2
Care,635.0,Female,2002,Intermediate_2
Care Issues for Society,162.0,Female,2002,Intermediate_2
Computing,603.0,Female,2002,Intermediate_2
Construction Craft Skills,0.0,Female,2002,Intermediate_2
Construction Industry Practice,1.0,Female,2002,Intermediate_2
Craft and Design,147.0,Female,2002,Intermediate_2
Design,12.0,Female,2002,Intermediate_2
Electronic and Electrical Fundamentals,3.0,Female,2002,Intermediate_2
Engineering Craft Skills,19.0,Female,2002,Intermediate_2
Fabrication and Welding,2.0,Female,2002,Intermediate_2
Graphic Communication,253.0,Female,2002,Intermediate_2
Health and Safety in Care Settings,88.0,Female,2002,Intermediate_2
Home Economics - Fashion and Textile Technology,63.0,Female,2002,Intermediate_2
Home Economics - Health and Food Technology,262.0,Female,2002,Intermediate_2
Home Economics - Lifestyle and Consumer Technology,84.0,Female,2002,Intermediate_2
Hospitality - General Operations,151.0,Female,2002,Intermediate_2
Hospitality - Practical Cookery,1847.0,Female,2002,Intermediate_2
Hospitality - Professional Cookery,133.0,Female,2002,Intermediate_2
Hospitality - Reception and Accommodation Operations,6.0,Female,2002,Intermediate_2
Information Systems,1143.0,Female,2002,Intermediate_2
Personal and Social Education,23.0,Female,2002,Intermediate_2
Selling Overseas Tourist Destinations,116.0,Female,2002,Intermediate_2
Technological Studies,10.0,Female,2002,Intermediate_2
Travel and Tourism,527.0,Female,2002,Intermediate_2
Woodworking Skills,367.0,Female,2002,Intermediate_2
Art and Design,1147.0,Female,2002,Intermediate_2
Drama,337.0,Female,2002,Intermediate_2
Media Studies,261.0,Female,2002,Intermediate_2
Music,479.0,Female,2002,Intermediate_2
Fitness and Exercise,9.0,Female,2002,Intermediate_2
Leading Sports Activities,1.0,Female,2002,Intermediate_2
Physical Education,389.0,Female,2002,Intermediate_2
